date,open,high,low,close,volume,amount,pctChg
2022-08-18,16.45,19.74,16.45,19.74,702733.0,13800757.42,43.9825
2022-08-19,21.71,21.71,21.71,21.71,205085.0,4452395.35,9.9797
2022-08-22,23.88,23.88,23.88,23.88,118159.0,2821636.92,9.9954
2022-08-23,26.27,26.27,26.27,26.27,132475.0,3480118.25,10.0084
2022-08-24,28.9,28.9,28.9,28.9,433181.0,12518930.9,10.0114
2022-08-25,31.79,31.79,31.79,31.79,309357.0,9834459.03,10.0
2022-08-26,34.97,34.97,34.97,34.97,3402289.0,118978046.33,10.0031
2022-08-29,38.47,38.47,38.47,38.47,1286225.0,49481075.75,10.0086
2022-08-30,40.2,42.32,40.1,42.32,12456998.0,513887826.63,10.0078
2022-08-31,43.7,46.55,41.3,46.55,24533243.0,1080338107.76,9.9953
2022-09-01,43.0,43.65,41.9,41.94,11649460.0,489989970.74,-9.9033
2022-09-02,41.2,41.96,37.75,37.75,17181568.0,672205866.96,-9.9905
2022-09-05,37.01,38.77,37.01,38.32,11124951.0,421677590.33,1.5099
2022-09-06,37.65,37.96,34.65,35.85,13519435.0,483639782.78,-6.4457
2022-09-07,35.84,36.63,35.11,35.41,10473283.0,374472755.89,-1.2273
2022-09-08,35.0,36.1,33.78,33.83,10747428.0,375775163.33,-4.462
2022-09-09,33.71,34.25,32.7,32.86,7003887.0,232723870.74,-2.8673
2022-09-13,32.66,34.98,32.66,33.94,9326195.0,315909860.28,3.2867
2022-09-14,33.02,34.88,33.01,34.53,8417541.0,288045412.24,1.7384
2022-09-15,34.3,34.5,31.08,31.08,9654318.0,310118933.9,-9.9913
2022-09-16,31.4,32.18,31.03,31.58,6204576.0,196177470.52,1.6088
2022-09-19,30.66,31.26,29.2,30.71,4266224.0,130064256.09,-2.7549
2022-09-20,31.13,31.87,30.94,31.48,4430535.0,139225767.34,2.5073
2022-09-21,31.26,33.18,31.11,31.77,6528510.0,211824301.53,0.9212
2022-09-22,31.98,34.95,31.98,34.95,5159214.0,175904328.03,10.0094
2022-09-23,36.01,36.01,33.34,33.77,14040208.0,483435559.19,-3.3763
2022-09-26,33.3,34.52,32.36,33.16,8000856.0,266819932.92,-1.8063
2022-09-27,33.16,36.48,32.6,34.9,13950793.0,489313460.29,5.2473
2022-09-28,35.04,36.77,34.21,35.0,12216175.0,433056755.98,0.2865
2022-09-29,33.79,35.18,31.5,31.5,10641526.0,350471256.41,-10.0
2022-09-30,30.0,30.48,28.58,28.58,8963797.0,264952279.98,-9.2698
2022-10-10,29.48,30.33,29.08,29.28,5871428.0,174121492.62,2.4493
2022-10-11,29.38,30.61,28.72,30.59,4423521.0,131418644.89,4.474
2022-10-12,30.5,31.74,29.71,31.34,4679683.0,144424885.25,2.4518
2022-10-13,30.91,33.29,30.7,32.73,4649889.0,149742714.11,4.4352
2022-10-14,33.08,33.08,32.01,32.35,3777015.0,122916518.4,-1.161
2022-10-17,32.24,32.9,31.6,32.44,3329760.0,107304651.28,0.2782
2022-10-18,32.5,32.5,31.0,31.05,4414638.0,138669921.74,-4.2848
2022-10-19,31.0,31.36,29.81,29.88,3604315.0,109260208.78,-3.7681
2022-10-20,29.99,32.87,29.89,32.87,3249872.0,104186293.18,10.0067
2022-10-21,32.8,33.3,30.0,31.08,8712154.0,274267100.25,-5.4457
2022-10-24,30.99,32.01,30.18,30.4,5492041.0,169821787.51,-2.1879
2022-10-25,30.84,30.99,28.1,29.11,5556706.0,161099610.37,-4.2434
2022-10-26,29.12,29.93,28.99,29.3,3921829.0,115565865.07,0.6527
2022-10-27,29.02,29.33,28.39,28.41,3703938.0,106565907.42,-3.0375
2022-10-28,27.29,27.29,25.85,26.01,5430797.0,142664051.1,-8.4477
2022-10-31,25.49,26.94,25.49,26.34,3451945.0,91512764.78,1.2687
2022-11-01,26.35,26.95,26.25,26.91,3001216.0,79902922.37,2.164
2022-11-02,26.74,27.45,26.69,27.4,3337389.0,90424635.69,1.8209
2022-11-03,27.41,27.41,26.66,27.17,2813400.0,76081669.53,-0.8394
2022-11-04,27.17,27.64,27.0,27.53,2770895.0,75952849.42,1.325
2022-11-07,27.25,28.27,27.25,28.14,3447566.0,96150195.98,2.2158
2022-11-08,28.02,28.28,27.68,27.96,2178329.0,60865364.57,-0.6397
2022-11-09,27.81,28.37,27.72,27.91,2037897.0,57133107.73,-0.1788
2022-11-10,27.8,28.26,27.61,28.0,1948834.0,54469117.07,0.3225
2022-11-11,28.38,28.5,27.68,27.69,2632831.0,73719882.23,-1.1071
2022-11-14,27.69,28.47,27.2,28.22,2770707.0,77618851.19,1.914
2022-11-15,27.93,28.7,27.88,28.55,2720677.0,77176851.72,1.1694
2022-11-16,28.58,29.55,28.4,28.76,3189500.0,92043404.48,0.7356
2022-11-17,28.69,28.77,27.96,28.31,2141869.0,60447258.08,-1.5647
2022-11-18,28.32,29.15,27.77,27.79,2620296.0,74205583.69,-1.8368
2022-11-21,27.46,27.55,26.65,27.49,1738170.0,47257757.52,-1.0795
2022-11-22,27.92,28.9,27.6,27.76,3290598.0,92752150.39,0.9822
2022-11-23,28.0,28.1,26.44,26.96,2713481.0,73160082.11,-2.8818
2022-11-24,26.87,27.98,26.87,27.23,1817121.0,49864494.44,1.0015
2022-11-25,27.19,27.47,26.36,26.4,2298211.0,61631472.2,-3.0481
2022-11-28,26.25,26.55,25.62,26.48,1448405.0,37996005.23,0.303
2022-11-29,26.19,27.26,26.19,27.07,1755540.0,47041124.1,2.2281
2022-11-30,27.21,27.25,26.41,26.59,1646008.0,43926330.41,-1.7732
2022-12-01,26.8,28.24,26.8,27.35,3504426.0,96244531.68,2.8582
2022-12-02,27.4,28.18,27.25,27.79,2589173.0,71696292.58,1.6088
